timestamp	tweet
2020-11-18 14:11:52	This was a rigged election. No Republican Poll Watchers allowed, voting machine “glitches” all over the place (mean… https://t.co/T7GxMyz7lf
2020-11-18 13:55:05	Wrong! At first they voted against because there were far more VOTES than PEOPLE (Sad!). Then they were threatened,… https://t.co/mLKOdYG2pM
2020-11-18 13:31:43	...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! https://t.co/9coP3R44UQ
2020-11-18 13:15:48	Trump votes. https://t.co/JYEMPg1MJc
2020-11-18 03:20:02	Wow! Governor Kemp will hopefully see the light before it is too late. Must finally take charge! Two GREAT Senators… https://t.co/iewYLwguij
2020-11-18 02:24:59	Well, it’s really quite simple. You just can’t have more votes than people! https://t.co/kVtop3WsLp
2020-11-18 02:22:04	More votes than people, and that is the least of it!!! https://t.co/mSO4Ufwn2g
2020-11-18 02:18:42	Flip Michigan back to TRUMP. Detroit, not surprisingly, has tremendous problems! https://t.co/RHhuoSMICg
2020-11-18 02:11:08	Wow! Michigan just refused to certify the election results! Having courage is a beautiful thing. The USA stands proud!
2020-11-18 01:05:08	“Second Georgia County Finds Thousands More Votes, Majority Are For Trump” https://t.co/9OxCU2faBF
2020-11-18 00:54:35	https://t.co/ciHvx0h6e9
2020-11-18 00:25:56	The only thing secure about our 2020 Election was that it was virtually impenetrable by foreign powers. On that, th… https://t.co/nGrEEFevUd
2020-11-18 00:14:00	THANK YOU! https://t.co/DrtsiD71i4
2020-11-18 00:07:44	...votes from Trump to Biden, late voting, and many more. Therefore, effective immediately, Chris Krebs has been te… https://t.co/hEhB4X4KqZ
2020-11-18 00:07:44	The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were… https://t.co/bx5h9hqxxH
2020-11-17 22:40:26	“DEAD PEOPLE VOTED” https://t.co/y6WRvCBykc
2020-11-17 22:39:41	https://t.co/GnGXzUZeo9
2020-11-17 22:37:58	https://t.co/Nf8mnRLhy5
2020-11-17 21:39:24	THIS SAYS IT ALL! https://t.co/zZSspsJPe9
2020-11-17 20:47:34	I have reversed the ridiculous decision to cancel Wreaths Across America at Arlington National Cemetery. It will now go on!
2020-11-17 04:20:19	https://t.co/J99jQjt2wY
2020-11-16 23:43:29	Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as Presid… https://t.co/JCpRUqVjB3
2020-11-16 21:23:05	The rate of rejected Mail-In Ballots is 30 X’s lower in Pennsylvania this year than it was in 2016. This is why the… https://t.co/Boh8eU2hty
2020-11-16 16:59:52	Georgia won’t let us look at the all important signature match. Without that the recount is MEANINGLESS. Open up un… https://t.co/q7AT8sKvKs
2020-11-16 16:11:09	European Countries are sadly getting clobbered by the China Virus. The Fake News does not like reporting this!
2020-11-16 16:02:58	STOCK MARKET GETTING VERY CLOSE TO 30,000 ON NEW VACCINE NEWS. 95% EFFECTIVE!
2020-11-16 15:59:33	They will PACK THE COURTS. We won’t let that happen!
2020-11-16 15:37:04	The Radical Left Democrats, working with their partner, the Fake News Media, are trying to STEAL this Election. We won’t let them!
2020-11-16 15:29:34	Trump Campaign Rejects Media Reports of Changed Pennsylvania Case https://t.co/VjIhiyB4XK via @BreitbartNews. Just… https://t.co/qj4aZn5Zg7
2020-11-16 14:49:06	Who will be running for Governor of the Great State of Ohio? Will be hotly contested!
2020-11-16 14:19:29	Another Vaccine just announced. This time by Moderna, 95% effective. For those great “historians”, please remember… https://t.co/FSiSRfKBe0
2020-11-16 14:06:23	Try watching @OANN. Really GREAT!
2020-11-16 14:04:50	The Fake recount going on in Georgia means nothing because they are not allowing signatures to be looked at and ver… https://t.co/2E47pfCjI6
2020-11-16 13:51:44	I won the Election!
2020-11-16 13:33:18	I strongly stand with Kelly &amp; David. They are both great and MUST WIN! https://t.co/eqr95Lc2aC
2020-11-16 13:26:19	Dominion is running our Election. Rigged! https://t.co/xvwrpLpAZa
2020-11-16 13:24:13	Thank you Andrew! https://t.co/lnFIJb64YA
2020-11-16 13:15:50	Most fraudulent Election in history! https://t.co/X2pRkTqWIS
2020-11-16 13:14:59	This is crazy! https://t.co/Dwvb57mgMz
2020-11-16 13:13:41	No way! https://t.co/Dwvb57mgMz
2020-11-16 13:09:45	The Washington Post forgot to read the complaint. Fake News. Poll Watchers, and the way they were treated, are a ve… https://t.co/t723he8Y28
2020-11-16 04:55:48	I WON THE ELECTION!
2020-11-16 01:46:38	....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those re… https://t.co/I2EB0QHw6J
2020-11-16 01:46:38	....perhaps like never before! From large numbers of Poll Watchers that were thrown out of vote counting rooms in m… https://t.co/WrjIvtwjUw
2020-11-16 01:46:37	Why does the Fake News Media continuously assume that Joe Biden will ascend to the Presidency, not even allowing ou… https://t.co/eh7MMyODkA
2020-11-16 00:47:09	A great launch! @NASA was a closed up disaster when we took over. Now it is again the “hottest”, most advanced, spa… https://t.co/4lcXxC9J3r
2020-11-15 22:21:55	Many of the court cases being filed all over the Country are not ours, but rather those of people that have seen ho… https://t.co/0ST6CWjabX
2020-11-15 21:55:33	Spirit like never before! https://t.co/2B7OCW6Rxc
2020-11-15 21:54:47	Amazing! https://t.co/RMOa4jKZwA
2020-11-15 21:51:30	We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv
2020-11-15 21:36:02	WATCH: D.C. Cops Direct Trump-Supporters into Gauntlet of Protesters, Do Nothing When They Are Assaulted… https://t.co/rwWP0blDes
2020-11-15 19:31:01	Great job Emily! https://t.co/kQbKViF7Il
2020-11-15 19:20:07	John Bolton was one of the dumbest people in government that I’ve had the “pleasure” to work with. A sullen, dull a… https://t.co/iXZp3Sy2sM
2020-11-15 18:21:49	https://t.co/8N0vB3nJPi
2020-11-15 18:21:05	https://t.co/fKDXKEmNr1
2020-11-15 18:20:43	https://t.co/ZruNgRgFqF
2020-11-15 14:59:55	Rudy will be interviewed by @MariaBartiromo at 10:00 A.M. NOW! https://t.co/ExPIgqtIAV
2020-11-15 14:55:44	Progress! https://t.co/K0NrpChXuI
2020-11-15 14:19:51	He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!
2020-11-15 14:16:11	RIGGED ELECTION. WE WILL WIN!
2020-11-15 13:04:01	Watch @RudyGiuliani interview on @MariaBartiromo this morning at 10:00. Doing a great job exposing the Rigged Election Hoax!
2020-11-15 12:56:26	All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal… https://t.co/ARt6D0Aygu
2020-11-15 12:47:54	He won because the Election was Rigged. NO VOTE WATCHERS OR OBSERVERS allowed, vote tabulated by a Radical Left pri… https://t.co/jWJzfO7zcn
2020-11-15 12:32:27	Doing a great job in Georgia. Their recount is a scam, means nothing. Must see fraudulent signatures which is prohi… https://t.co/bN7mI72iKF
2020-11-15 12:25:14	This is why @FoxNews daytime and weekend daytime have lost their ratings. They are abysmal having @alfredenewman1 (… https://t.co/PfVuHMiuY1
2020-11-15 05:07:22	Tax filings reveal Biden cancer charity spent millions on salaries, zero on research https://t.co/2DhE1Ddt6y via @nypost
2020-11-15 05:05:21	Thank you Mark, but the Fake News Media will never say it! https://t.co/e2V05JPmlx
2020-11-15 05:00:40	The Fake News Media hardly even discussed the tens of thousands of people that came to D.C. Formed organically, and… https://t.co/o8FK9xzCVD
2020-11-15 04:56:53	Thank you Mollie. The Free and Fair Press is gone in our country. They only write about what they want to write abo… https://t.co/em5pigfMfW
2020-11-15 04:51:46	The Silent Media is the Enemy of the People!!! https://t.co/I2LnE3dpI9
2020-11-15 04:49:07	Human Radical Left garbage did this. Being arrested now! https://t.co/fXSsXXp5yc
2020-11-15 04:43:19	Radical Left ANTIFA SCUM was easily rebuffed today by the big D.C. MAGA Rally crowd, only to return at night, after… https://t.co/OKxGddcbku
2020-11-15 04:17:21	ANTIFA SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people a… https://t.co/U7B1s6lvHT
2020-11-15 03:11:52	I look forward to Mayor Giuliani spearheading the legal effort to defend OUR RIGHT to FREE and FAIR ELECTIONS! Rudy… https://t.co/4DhUVlMELh
2020-11-14 23:07:53	There is tremendous evidence of wide spread voter fraud in that there is irrefutable proof that our Republican poll… https://t.co/y8T2ggBlnm
2020-11-14 21:58:36	https://t.co/aqAf0KkoYn
2020-11-14 21:24:15	.@FoxNews and the Fake News Networks aren’t showing these massive gatherings. Instead they have their reporters sta… https://t.co/Uu406xNzCf
2020-11-14 21:10:23	https://t.co/RV5obxT9aG
2020-11-14 21:01:56	Thank you Dan! https://t.co/Y5Dc7In245
2020-11-14 20:57:23	https://t.co/wkyEVYvbnk
2020-11-14 20:57:08	They wouldn’t let our Poll Watchers and Observers into the Counting Rooms. We win on that alone!
2020-11-14 20:55:10	https://t.co/ywiw6sPicI
2020-11-14 20:51:21	The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off… https://t.co/0FZ9lLyxXO
2020-11-14 20:24:27	Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8
2020-11-14 20:17:01	We will WIN! https://t.co/MwfvhQJ5wy
2020-11-14 20:07:56	People are not going to stand for having this Election stolen from them by a privately owned Radical Left company,… https://t.co/KTw9ZIpuQ3
2020-11-14 17:47:59	https://t.co/xQqv2oHpwf
2020-11-14 15:44:20	....We cannot waste time and can only give to those states that will use the Vaccine immediately. Therefore the New… https://t.co/UnecDJHV1A
2020-11-14 15:44:19	I LOVE NEW YORK! As everyone knows, the Trump Administration has produced a great and safe VACCINE far ahead of sch… https://t.co/6ph5Og0Rcl
2020-11-14 15:24:50	https://t.co/w9YruJ4AYc
2020-11-14 15:23:07	Congress must now do a Covid Relief Bill. Needs Democrats support. Make it big and focused. Get it done!
2020-11-14 14:29:26	....What are they trying to hide. They know, and so does everyone else. EXPOSE THE CRIME!
2020-11-14 14:29:25	The Consent Decree signed by the Georgia Secretary of State, with the approval of Governor @BrianKempGA, at the urg… https://t.co/0KyoWq3b44
2020-11-14 06:08:07	Republican Burgess Owens Defeats Democrat Rep. Ben McAdams in Utah https://t.co/H9NlPQj5yb via @BreitbartNews Great… https://t.co/NjPDRTDtXi
2020-11-14 05:22:31	HIGHLY RATED! https://t.co/XTW9HNWltU
2020-11-14 05:21:42	Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed… https://t.co/70RwaPflK3
2020-11-14 02:29:32	Wow. This is exactly what happened to us. Great courage by judge! https://t.co/p86FXdcBl2
2020-11-14 02:23:29	“The worst thing you can do is bet against Donald Trump, considering what has been done against him. They flooded t… https://t.co/XljT6nwWHE
2020-11-14 00:50:23	Georgia Secretary of State, a so-called Republican (RINO), won’t let the people checking the ballots see the signat… https://t.co/oPyvJ68XCN
2020-11-14 00:28:15	700,000 ballots were not allowed to be viewed in Philadelphia and Pittsburgh which means, based on our great Consti… https://t.co/PR3YQbC1yF
2020-11-14 00:12:54	https://t.co/m2yw7gTU5q
2020-11-14 00:09:06	https://t.co/62pKj4IMnu
2020-11-13 23:19:03	“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k
2020-11-13 22:21:17	https://t.co/f97adSPs5K
2020-11-13 22:01:11	https://t.co/bo3vcckCCO
2020-11-13 22:01:02	https://t.co/Vv9I7BBXDb
2020-11-13 21:07:38	Will be having a press conference from the Rose Garden in 15 minutes.
2020-11-13 20:38:12	Now it is learned that the horrendous Dominion Voting System was used in Arizona (and big in Nevada). No wonder the… https://t.co/lM4xN6jpJo
2020-11-13 18:35:54	Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up a… https://t.co/eEg02NFGuh
2020-11-13 15:59:29	For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wo… https://t.co/u1ytY6EPnT
2020-11-13 15:55:30	Alito: ‘Religious Liberty Is in Danger of Becoming a Second-Class Right‘ https://t.co/hJZJHb36PB via @BreitbartNews
2020-11-13 15:54:29	Fitton: 2020 Election Update https://t.co/rLgZ6xWGDE via @BreitbartNews
2020-11-13 04:17:46	These states in question should immediately be put in the Trump Win column. Biden did not win, he lost by a lot!… https://t.co/w7y0zDaYdL
2020-11-13 04:14:11	https://t.co/ptKv99S7qp
2020-11-13 03:46:13	Must see @seanhannity takedown of the horrible, inaccurate and anything but secure Dominion Voting System which is… https://t.co/quA4VhhPA6
2020-11-12 16:34:00	“REPORT: DOMINION DELETED 2.7 MILLION TRUMP VOTES NATIONWIDE. DATA ANALYSIS FINDS 221,000 PENNSYLVANIA VOTES SWITCH… https://t.co/PgrmoBcJib
2020-11-12 16:10:18	.@FoxNews daytime ratings have completely collapsed. Weekend daytime even WORSE. Very sad to watch this happen, but… https://t.co/WyQJORrjOA
2020-11-12 15:25:06	100% Correct! https://t.co/ahL2UglMXF
2020-11-12 15:17:35	So beautiful! https://t.co/TXynI8Q0pG
2020-11-12 15:16:02	Rigged Election! Thanks Ryan. https://t.co/1ObzekxH8e
2020-11-12 15:12:09	Thank you Scott, and stay tuned. You are terrific! https://t.co/3jhmFqlazE
2020-11-12 14:26:29	Now 73,000,000 Votes! https://t.co/VSNfdzoFkK
2020-11-12 13:50:00	“OK, I’ve seen enough. What’s going to happen to these guys (McCabe, Comey &amp; the gang of treasonous thugs)?… https://t.co/nAENixNTbO
2020-11-12 13:20:18	From 200,000 votes to less than 10,000 votes. If we can audit the total votes cast, we will easily win Arizona also! https://t.co/3eZHjdZL98
2020-11-12 13:15:10	Big Jim is the greatest! https://t.co/jEomyIEC47
2020-11-12 13:13:52	It took long enough! What is taking North Carolina so long? Are they looking for more ballots to fix that one also?… https://t.co/C8nwwnrMzA
2020-11-12 04:17:21	It attempted to alter our election and got caught? https://t.co/J8mcH4SpxG
2020-11-12 03:41:10	https://t.co/6hNhg0yYkF
2020-11-12 02:21:27	NOW 73,000,000 LEGAL VOTES! https://t.co/VSNfdzoFkK
2020-11-12 00:13:08	Nobody wants to report that Pennsylvania and Michigan didn’t allow our Poll Watchers and/or Vote Observers to Watch… https://t.co/0zgkkiPKpn
2020-11-11 23:50:49	I am pleased to announce that I have given my full support and endorsement to Ronna McDaniel to continue heading th… https://t.co/mioIHE28zv
2020-11-11 23:48:57	Everyone is asking why the recent presidential polls were so inaccurate when it came to me. Because they are FAKE,… https://t.co/bZd76X4oqE
2020-11-11 23:04:47	WE WILL WIN! https://t.co/rkd8vK6id7
2020-11-11 20:59:21	You are looking at BALLOTS! Is this what our Country has come to? https://t.co/cI2ZTItqUi
2020-11-11 20:52:37	https://t.co/JxzM7kThko
2020-11-11 19:53:51	https://t.co/5He4fYU5Jv
2020-11-11 17:13:45	https://t.co/pBndm0Sd3M
2020-11-11 15:07:17	https://t.co/SHY5Hz66eJ
2020-11-11 14:03:03	A guy named Al Schmidt, a Philadelphia Commissioner and so-called Republican (RINO), is being used big time by the… https://t.co/xiRJKeTKQq
2020-11-11 13:48:12	Richard Hopkins, Pennsylvania postal worker, recants ballot-tampering claim - Washington Times… https://t.co/Kfpbm4HNCT
2020-11-11 13:35:55	The Fake Pollsters at @ABC/@washingtonpost produced a possibly illegal suppression Poll just before the Election sh… https://t.co/lcF0LSdJqh
2020-11-11 03:41:22	https://t.co/JxzM7kThko
2020-11-11 02:37:06	People will not accept this Rigged Election! https://t.co/XQAOIt5ZwU
2020-11-11 02:26:46	Obama spied on our campaign - and got caught! https://t.co/HyQW0v2SD4
2020-11-11 02:20:13	I Was In Philadelphia Watching Fraud Happen. Here’s How It Went Down https://t.co/fRMw3ilbYG They shut out our Poll… https://t.co/rKcK3b2NmV
2020-11-11 02:15:42	A brave patriot. More &amp; more people are stepping forward to expose this Rigged Election! https://t.co/DfOVDQu2Qp
2020-11-11 02:09:38	He should pay a big price for his subversion! https://t.co/1nFjPBpvfV
2020-11-11 02:06:22	Thanks Dan. Big win for us in Texas! https://t.co/MqNSOf6AWP
2020-11-11 01:59:13	That’s why Mike was number one in his class at West Point! https://t.co/hldYAphqmM
2020-11-11 01:55:26	Andrew McCabe was exposed for who he is today in the U.S. Senate. He was totally destroyed - an ignorant fool. The… https://t.co/DLsjihlwrw
2020-11-11 00:55:12	“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs… https://t.co/0fcES4nEQ1
2020-11-11 00:07:59	https://t.co/gGC3uuldxh
2020-11-11 00:06:20	https://t.co/5kZAdMeoJ3
2020-11-11 00:04:44	https://t.co/Ncauwdm8Sb
2020-11-10 23:21:51	Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!
2020-11-10 17:13:57	Pennsylvania Party Leadership votes are this week. I hope they pick very tough and smart fighters. We will WIN!!
2020-11-10 17:13:39	Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopeful… https://t.co/c57bKU7mTi
2020-11-10 16:49:04	Happy 245th Birthday to the @USMC! #HappyBirthdayMarines https://t.co/ruAkzKhhrJ https://t.co/0DjMwME0km
2020-11-10 16:04:57	Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never… https://t.co/VQC2Fqkstb
2020-11-10 15:51:40	Highly Respected Ken Starr: “Pennsylvania’s three-day extension of the mail-in ballot deadline is a Constitutional… https://t.co/9VyXSO5NU6
2020-11-10 15:33:47	BALLOT COUNTING ABUSE!
2020-11-10 15:33:06	WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!
2020-11-10 13:44:22	WE WILL WIN!
2020-11-10 13:43:35	WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!
2020-11-10 13:05:44	“Only because of President Trump, we are going to have a Vaccine by the end of the year.”  Ronny Jackson, Texas Congressman-Elect
2020-11-10 13:01:15	“President Trump told us for some time we would be getting a Vaccine by the end of the year and people laughed at h… https://t.co/pY3HoA5Kdt
2020-11-10 05:38:07	Nothing! https://t.co/OurKkatwbE
2020-11-10 05:18:11	Nolte: Bret Baier Deletes Tweet that Exposed Backlash Against Fox News https://t.co/k98LQLPwsK via @BreitbartNews
2020-11-10 01:27:06	https://t.co/kSjq4ye9EO
2020-11-10 01:03:40	https://t.co/dFGni0viS5
2020-11-10 01:03:15	https://t.co/9oAnUZdJLW
2020-11-10 01:01:02	https://t.co/NXcVFfLcgx
2020-11-10 00:43:19	The @US_FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came o… https://t.co/JpeqCUIuSm
2020-11-10 00:41:12	If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever… https://t.co/QH6ZKkIyeH
2020-11-10 00:40:18	As I have long said, @Pfizer and the others would only announce a Vaccine after the Election, because they didn’t h… https://t.co/PawcRvWd9t
2020-11-10 00:38:59	...The worst polling ever, and then they’ll be back in four years to do it again. This is much more then voter and… https://t.co/SDeINtq66H
2020-11-10 00:38:59	...ABC/WaPo had me down 17 points in Wisconsin, the day before the election, and I WON! In Iowa, the polls had us 4… https://t.co/keKFlrXYrb
2020-11-10 00:38:59	.@FoxNews, @QuinnipiacPoll, ABC/WaPo, NBC/WSJ were so inaccurate with their polls on me, that it really is tamperin… https://t.co/yXH5swz21g
2020-11-10 00:23:24	https://t.co/vTEBvG1Ucj
2020-11-10 00:19:24	This is good news, it means I won! cc: @RepDougCollins @SecretarySonny https://t.co/zO4AlPF8O0
2020-11-09 23:14:38	https://t.co/UEqAlDZwYF
2020-11-09 23:12:24	https://t.co/hQv0HD93I9
2020-11-09 23:11:47	https://t.co/lShmKksQ0O
2020-11-09 20:21:43	Georgia will be a big presidential win, as it was the night of the Election!
2020-11-09 20:17:47	Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.
2020-11-09 20:02:19	Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI
2020-11-09 19:54:33	Nevada is turning out to be a cesspool of Fake Votes. @mschlapp &amp; @AdamLaxalt are finding things that, when release… https://t.co/uu5zbYINmv
